% # iter+eval+sigma+0+fitness+xbest, seed=522004, Thu Nov 20 00:25:56 2014
1 9 1.01464370205 0 -2143230 3.79745473526 1.69024516862 2.9212782403 0.361781452305 6.26650001882 0.897876560298
2 18 1.07380819175 0 -1336059 4.10918810542 2.36799396663 1.77763703319 -0.837795842416 6.018600652 0.180676480315
3 27 1.0898882131 0 -2004972 3.76053792948 3.98353270502 0.947933567168 -0.168604655863 5.67792299805 0.117089165633
4 36 1.02550695273 0 -2687058 3.40714634012 0.96629914956 2.02080055761 0.134479325476 3.66909471911 0.657615422713
5 45 0.920305443861 0 -2423634 3.6681098535 1.53393202365 1.7511586626 -0.901522728433 3.68468493341 2.2050918142
6 54 0.739625668323 0 -1760733 3.16345631673 2.5190582609 2.15782006259 0.172304449779 2.87205504804 0.940789122384
7 63 0.686688837636 0 -2059101 3.66350144732 2.61254712161 2.55474523076 1.35944667627 3.15343149055 1.2474571483
8 72 0.665837576241 0 -1774866 3.82562164751 2.30382908624 2.16213076872 1.42253410564 3.56005382073 2.20759981341
9 81 0.782929434555 0 -1827858 3.00198435308 1.29441604288 1.300324201 2.03376105327 4.60063118136 2.58077053444
10 90 0.793833166548 0 -2483370 2.92545640601 1.39286360592 0.813633529565 1.12138904166 3.09705097735 2.56263005389
11 99 0.860540925461 0 -2446563 3.42256815359 0.659492337317 0.452539238965 2.24156125498 4.66798712518 4.02451813082
12 108 0.711489393676 0 -2735397 2.91095798048 1.97322364298 1.48440229638 1.09747286946 2.9608468539 2.12275763339
