% # columns="iteration, evaluation, void, void, void, xmean", seed=522004, Thu Nov 20 00:25:56 2014 # scaling_of_variables: 1, typical_x: 0
0 0 0 0.0 nan 4.0 1.88 3.5 0.22 3.5 1.35
1 9 0 0.0 nan 3.96690989658 1.92552220643 3.03460233078 -0.0783762217915 5.08616537215 0.662226261228
2 18 0 0.0 nan 4.29555970929 2.23209104837 1.92642360561 -0.172295669346 5.58783642485 0.479593347357
3 27 0 0.0 nan 3.78988819251 2.91332678611 1.68096677173 0.65373370546 3.83371365064 1.20768942256
4 36 0 0.0 nan 3.71302833727 1.65860814413 1.75655291061 1.09059210421 3.61563326292 0.975781041062
5 45 0 0.0 nan 3.50234403085 1.88618798866 1.8805726403 -0.0132633732214 3.33615732041 1.00784236515
6 54 0 0.0 nan 3.59219919301 1.78859563949 2.12568353972 0.273653320313 3.34367420667 0.958601684704
7 63 0 0.0 nan 3.62913469717 2.05031915524 2.4704652609 1.07180264499 3.46929380124 1.18857402333
8 72 0 0.0 nan 3.66161525464 1.90585479022 2.27717247405 1.34681538087 3.85070861464 1.73079095146
9 81 0 0.0 nan 3.30546711064 1.0742366355 1.57451774906 1.48400707464 3.78087326835 2.27719454145
10 90 0 0.0 nan 3.23576752106 1.28481576994 1.35892930974 1.18016545176 3.72751669443 2.46987221198
11 99 0 0.0 nan 3.21016074615 0.950853125897 0.63700903256 1.28738030067 3.81008379049 3.11464564336
12 108 0 0.0 nan 3.20015664145 1.56864610178 1.43057847082 1.05300607972 3.36056191087 2.31154089223
