% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=810854, Sun Nov 23 11:28:42 2014
60 540 0.288601630835 3.50764080473 -3096855 -1.5962520000000000e+06 -1297032 -895404   
61 549 0.250300956759 3.57506978715 -3096855 -2.1759960000000000e+06 -1391715 -1143237   
62 558 0.246664730548 3.6372536635 -3096855 -1.9773420000000000e+06 -1725783 -1178610   
63 567 0.24878186622 3.60741801277 -3096855 -2.2423620000000000e+06 -1475430 -1118169   
64 576 0.22934209996 3.81390571532 -3096855 -1.8152940000000000e+06 -1335903 -1123443   
65 585 0.247319630119 3.98282346803 -3096855 -1.7516910000000000e+06 -1407471 -962646   
66 594 0.257787252397 3.8661693607 -3096855 -1.9247550000000000e+06 -1307490 -544521   
67 603 0.243968230204 4.26951862078 -3096855 -1.8854040000000000e+06 -1303245 -910254   
68 612 0.239411195286 4.56487292903 -3096855 -1.9879890000000000e+06 -1458402 -1157859   
69 621 0.246069178 4.47091185304 -3096855 -2.2344030000000000e+06 -1507914 -1076694   
70 630 0.236388826625 4.7627245743 -3096855 -2.2997340000000000e+06 -1655430 -1169736   
71 639 0.230444439025 4.66762324991 -3096855 -2.6397480000000000e+06 -1483641 -946323   
72 648 0.207867846295 4.768345849 -3096855 -2.3715480000000000e+06 -1332168 -1174899   
73 657 0.186056538216 4.94938754328 -3096855 -2.0768160000000000e+06 -1489428 -969057   
74 666 0.184395701268 5.05604385837 -3096855 -2.0383560000000000e+06 -1260387 -896127   
75 675 0.1799687911 5.05168800062 -3096855 -2.4817110000000000e+06 -1409607 -980649   
76 684 0.167115343061 4.78580420116 -3096855 -2.2002390000000000e+06 -1692714 -1050555   
77 693 0.169115633587 4.68203259576 -3096855 -2.8536750000000000e+06 -1381350 -1014786   
78 702 0.162027877882 4.50892119502 -3096855 -2.3775870000000000e+06 -1245168 -886905   
79 711 0.162234234022 4.64480995491 -3096855 -2.0240310000000000e+06 -1627407 -1035300   
80 720 0.170168710192 4.84761743075 -3096855 -2.5315050000000000e+06 -1630833 -908928   
81 729 0.171699217756 5.03035454671 -3096855 -2.2365120000000000e+06 -1384233 -939921   
82 738 0.196949915666 4.91222115994 -3096855 -1.8947100000000000e+06 -1647879 -1119291   
83 747 0.23313953528 5.05795038805 -3096855 -2.0015370000000000e+06 -1244388 -1120431   
